name,time,content
 Chinese military rebuts US military's smear on aircraft encounter,"Source：
				,
			,Editor：Lin Congyi,2023-01-01 10:00:40","BEIJING, Jan. 1 -- The Chinese PLA Southern Theater Command released a written statement on Saturday night to rebut the US military's recent smear, saying that the US deliberately misled the public opinion, distorted fact, blamed the innocent and attempted to fool the international community.,The US Indo-Pacific Command recently claimed in a statement that a PLAN J-11 fighter jet performed a so-called ""unsafe maneuver"" against a USAF RC-135 plane. Air Force Senior Colonel Tian Junli, spokesperson for the Chinese PLA Southern Theater Command, said in a statement in response to media that the US military's statement ignores facts and is nothing but slander and speculation. ,The spokesperson pointed out that on December 21, a US RC-135 aircraft conducted intentional close-in reconnaissance in the vicinity of China's southern coastline and the Xisha Islands of Hainan province. The PLA Southern Theater Command deployed air assets to track and monitor the US aircraft throughout the process. During the process, in disregard of repeated warnings from the Chinese pilot, the US aircraft abruptly changed its flight attitude and forced the Chinese aircraft to the left. Such a dangerous approaching maneuver seriously affected the flight safety of the Chinese military aircraft, seriously violating the US-China Memorandum of Understanding (MOU) On the Rules of Behavior for the Safety of Air and Maritime Encounters and the relevant international laws and practices. ,The spokesperson stressed that the Chinese pilot handled the incident in accordance with relevant laws and regulations, and conducted professional and standard operations, which fully demonstrated the Chinese military's responsible attitude towards regional security and the safety of front-line personnel. ,""We sternly demand the US side to restrain the operations of its front-line air and naval troops, strictly abide by relevant international laws and agreements, and prevent any accidental event at sea and in the air,"" said the spokesperson at the end of the statement, adding that the Chinese military will always stay on high alert and firmly perform their duties and missions to safeguard China's sovereignty and security.,
, ,This video released by the Chinese PLA Southern Theater Command shows that the US RC-135 aircraft abruptly changed its flight attitude and performed dangerous approaching maneuver at 11:25:17 a.m. (Beijing Time) on December 21, 2022. , , , ,
				"
 PLA monitors US warship's transit through Taiwan Strait: Spokesperson,"Source：
				,
			,Editor：Chen Zhuo,2023-01-06 11:54:58","
				"
 Chinese defense minister meets with Turkmen counterpart,"Source：
				,
			,Editor：Wang Xinjuan,2023-01-06 19:45:51","BEIJING, Jan. 6 -- Chinese State Councilor and Minister of National Defense Wei Fenghe held talks with visiting Turkmen Defense Minister Begench Gundogdyevhere on Friday. ,Gen. Wei Fenghe said that President Xi Jinping and President Serdar Berdimuhamedov held talks today and jointly announced the establishment of a comprehensive strategic partnership between China and Turkmenistan, marking that China-Turkmenistan relations have entered a new era and reached a new level. The defense departments and militaries of both sides should take this as a new opportunity to implement the consensus reached by the two heads of state and jointly make new contributions to China-Turkmenistan friendship and practical cooperation, Wei said. ,Wei was satisfied with the development of military relations between the two countries by saying that in recent years, communication and cooperation between the Chinese and Turkmen militaries have gained momentum, and cooperation in high-level exchanges, professional communication and personnel training has been continuously deepened. ,China is willing to work with Turkmenistan to continuously strengthen strategic communication between the two militaries, deepen and expand pragmatic cooperation, and work together to build a closer China-Turkmenistan community with a shared future, Chinese defense chief told his Turkmen counterpart. ,Gundogdyev said that under the guidance of the two heads of state, Turkmenistan and China have established a comprehensive strategic partnership and opened a new chapter in the development of bilateral relations. ,Turkmenistan is willing to strengthen and expand friendly exchanges with China in various fields and at all levels, deepen defense and security cooperation, and safeguard the common interests of the two countries and peaceful development of the region, Gundogdyev said. ,
				"
 Festival groceries delivered to sentry post in Xinjiang,"Source：
				,
			,Editor：Lin Congyi,2023-01-13 20:17:10","
,BEIJING, Jan. 13 -- More than 760 pieces of Spring Festival groceries, including lanterns, Spring Festival couplets, fruits, meat, computers, televisions, air conditioners, automatic washing machines, tables and chairs for study, have recently been delivered to the Tielieketi border defense company in Xinjiang, where the surrounding environment is notoriously bad. Along with the festival groceries, many greeting letters also arrived. The caring words and festival blessings in the letters warmed their hearts, according to the service members serving in the post.,
				"
" China declines US proposal for phone call between defense chiefs on civilian unmanned airship incident
","Source：
				,
			,Editor：Li Jiayao,2023-02-09 20:05:47","BEIJING, Feb. 9 -- China has declined the US proposal for a telephone conversation between the defense chiefs of China and the US, said Senior Colonel Tan Kefei, spokesperson for China's Ministry of National Defense, in a statement on Thursday.,According to the spokesperson, the US side recently proposed a telephone conversation between the Chinese defense minister and the US defense secretary to communicate on the incident of China's civilian unmanned airship.,The spokesperson said that the US persisted in using force to attack China's civilian unmanned airship, which seriously violated international practices and set a very bad precedent. In view of the US side's irresponsible and seriously wrong practice, which had failed to create a proper atmosphere for dialogue and exchange between the two militaries, China didn't accept the US proposal for a phone call between the two defense chiefs, added the spokesperson.,The spokesperson also noted that the Chinese Foreign Ministry had made a public statement on the nature of the unmanned airship incident, and China reserves the right to take necessary measures to deal with similar situations.,
				"
 Xi inspects combat readiness of armed forces,"Source：
				,
			,Editor：Chen Zhuo,2023-01-19 20:42:25","BEIJING, Jan. 19 (Xinhua) -- President Xi Jinping on Wednesday inspected the combat readiness of the armed forces via video link ahead of the Spring Festival, or the Chinese New Year.,Xi, also general secretary of the Communist Party of China Central Committee and chairman of the Central Military Commission, extended festive greetings to service personnel of the People's Liberation Army and the People's Armed Police Force, civilian personnel posted in the military, and members of militia and reserve forces.,Xi attaches great importance to the military's combat readiness. At about 4:30 p.m., he spoke with soldiers from several troops undertaking border defense, coastal defense, air defense, stability maintenance and emergency response duties via video link.,During the video calls, Xi asked soldiers at a border defense station in Khunjerab, under the Xinjiang military command, about their border patrol and management work. Xi hailed the soldiers as models of border defence and encouraged them to persist in their efforts and make new contributions.,When speaking with soldiers from a patrolling Chinese navy formation, Xi inquired about their emergency response readiness.,After hearing about the routine air defense combat readiness duties of soldiers in an air force aviation brigade, Xi ordered them to remain alert and be ready for combat, and to raise their vigilance level during the Spring Festival to maintain airspace security.,Xi also spoke with soldiers from the Falcon Commando Unit under the armed police force, a core anti-terrorism unit at the national level. He inquired about their special operations skills training. He urged the soldiers to make strenuous efforts to enhance their competence and perform their duties as loyal guardians.,After his virtual talks with the soldiers, Xi said he fully recognized the troops' combat readiness.,Xi called on the military to fulfill their combat readiness duties and safeguard national security and social stability, so as to ensure that all Chinese people are able to have a happy and safe Spring Festival.,
				"
" PLA conducts exercise in waters, airspace around Taiwan Island","Source：
				,
			,Editor：Huang Panyue,2023-01-09 09:49:05","BEIJING, Jan. 9 -- The Eastern Theater Command of the People's Liberation Army (PLA) organized the joint combat-readiness security patrol and real-combat exercise involving troops of multiple services and arms in the waters and airspace around the Taiwan Island on January 8, said Army Senior Colonel Shi Yi, spokesperson for the Eastern Theater Command (ETC). The exercise focused on land strikes, sea assaults and other subjects, aiming to test the troops' joint combat capability and resolutely counter the collusive and provocative acts of the external forces and the ""Taiwan independence"" separatist forces., ,
				"
 Xi presents certificate of order to promote military officer to rank of general,"Source：
				,
			,Editor：Chen Zhuo,2023-01-18 23:36:06","BEIJING, Jan. 18 (Xinhua) -- Xi Jinping, chairman of the Central Military Commission (CMC), on Wednesday presented a certificate of order at a ceremony to promote Huang Ming, commander of the Central Theater Command of the People's Liberation Army, to the rank of general.,Xi extended his congratulations to Huang, who saluted Xi and all the attendees of the event.,Zhang Youxia, vice chairman of the CMC, announced the order of promotion, which was signed by Xi, at the ceremony.,The ceremony was presided over by He Weidong, another vice chairman of the CMC.,The event was held by the CMC in Beijing. General is the highest rank for officers in active service in China.,
				"
 13th Chinese peacekeeping medical contingent to UNMISS passes first UN equipment inspection in 2023,"Source：
				,
			,Editor：Li Weichao,2023-02-13 17:15:13","By Hu Nan, Fang Kaixuan, Dou Xiaoqiang, and Feng Chaoqin,WAU, South Sudan, Feb.13 -- On February 9, the 13th Chinese Peacekeeping Level-II Hospital in Wau passed the first equipment inspection in 2023 organized by United Nations Mission in South Sudan (UNMISS).,The UNMISS  sent an 11-member inspection team to conduct a comprehensive inspection on the vehicles and equipment of the Chinese contingent. The inspection  involved more than 800 items in eight categories, including medical facilities, vehicle equipment, communication and fire-fighting devices. During the inspection, the Chinese peacekeepers introduced the performance of various equipment on the spot and skillfully conducted on-site operation demonstrations, which was highly commended by the UNMISS inspection team.,Since it was deployed to the mission area, the 13th Chinese Peacekeeping Level-II Hospital to UNMISS has received 189 patients, checked more than 300 patients, performed 4 operations, and completed 2 medical evacuations. It has won high acclaim from the UNMISS for its professional medical level and excellent working style.,
				"
" Senior Chinese, Cambodian military officials meet in Beijing","Source：
				,
			,Editor：Huang Panyue,2023-02-11 17:20:01","BEIJING, Feb. 10 (Xinhua) -- Zhang Youxia, vice chairman of the Central Military Commission, on Friday met with Hun Manet, deputy commander-in-chief of the Royal Cambodian Armed Forces and commander of the Royal Cambodian Army.,Zhang said the China-Cambodia comprehensive strategic cooperative partnership has continued to consolidate, and as an important part of the relationship, military relations between the two countries have also deepened over time.,China will take the opportunities presented by the 65th anniversary of the establishment of diplomatic relations between China and Cambodia and the China-Cambodia Friendship Year to enhance practical cooperation between the two militaries in various areas, Zhang added.,Hun Manet said that Cambodia stands firm in upholding the one-China policy and is willing to advance the joint building of Belt and Road with China.,Hun Manet also said that Cambodia will work with China to deepen practical cooperation between the two militaries.,
				"
