name,time,content
"China, Russia conclude joint naval exercise","09:04, December 28, 2022","
	,
	,
	ABOARD DESTORYER JINAN, Dec. 27 (Xinhua) -- Chinese and Russian navies concluded a seven-day joint naval exercise Tuesday in the East China Sea.,
	The drill, the 11th of its kind since 2012, was conducted in waters east of the area stretching from Zhoushan to Taizhou, east China's Zhejiang Province.,
	It was held in accordance with the annual cooperation schedule between the two militaries.,
	Despite severe sea conditions, the two navies completed joint operations covering measures including blockade and control, rescue, anti-submarine, and air defense.,
	This joint exercise proved another successful example of cooperation between the Chinese and Russian navies, said Major General Wang Yu of the Chinese navy.,
	,
	,
	,
	,
	,
	,
	,
	,
	,
	,
	,
	,
	,
	,
	,
	,
	,
	,
	,
	,
	,
	"
Helicopters in low-altitude defense penetration,"09:54, December 27, 2022","
	,
	Helicopters attached to an army aviation brigade under the PLA 71st Group Army conduct ultra-low altitude defense penetration operations in flight training on November 13, 2022. (eng.chinamil.com.cn/Photo by Xiang Xu)"
"To resume all-round dialogue with China, U.S. should take sincere actions: defense spokesperson","08:29, December 30, 2022","
	,
	,
	BEIJING, Dec. 29 (Xinhua) -- If the United States wants to conduct positive and constructive dialogue and exchanges with China, it must show sincerity with practical deeds, said a spokesperson for China's Ministry of National Defense on Thursday.,
	The United States should earnestly respect China's core interests and major concerns, and actively create conditions and atmosphere for bringing bilateral military relations back to the right track, said spokesperson Tan Kefei while answering a media inquiry at a press conference.,
	The spokesperson said that China's cancellation of three exchanges between the two militaries was a necessary countermeasure against the United States, who wantonly created a major crisis and severely undermined China's sovereignty and territorial integrity. ""The cause and effect are clear, and the U.S. side knows that,"" he added.,
	The United States has issued multiple negative policy documents and bills concerning China in succession recently, made an uproar about major-country competition, hyped the so-called ""China threat,"" and grossly interfered in China's internal affairs. It further damaged the basis and atmosphere for communication and exchanges between the two militaries, said Tan.,
	""China attaches great importance to the development of China-U.S. military relations, and the communication between the two militaries at the working level has never been interrupted,"" said the spokesperson.,
	""However, the U.S. side cannot seek to resume dialogue and exchanges with China in an all-round manner while, at the same time, constantly damaging China's interests, let alone confusing the whole story and blaming China for the cancellation of some military exchanges,"" Tan said."
Anti-submarine patrol aircraft takes off for training exercise,"10:47, December 29, 2022","
	,
	Anti-submarine patrol aircraft attached to a naval aviation unit under the PLA Southern Theater Command take off in turn for a high-intensity anti-submarine training exercise in mid-November, 2022. (eng.chinamil.com.cn/Photo by Qin Qianjiang)"
"Russia commissions one, launches another strategic submarine","08:39, December 30, 2022","
	,
	,
	,
	MOSCOW, Dec. 29 (Xinhua) -- Russia's latest nuclear-powered strategic submarines Generalissimo Suvorov and Emperor Alexander III were commissioned and launched, respectively, on Thursday.,
	Generalissimo Suvorov and Emperor Alexander III are the sixth and seventh vessels of the Borei-A-class submarines, which are capable of carrying Bulava intercontinental ballistic missiles, the Kremlin said in a statement.,
	The small missile ship Grad and the sea minesweeper Anatoly Shlemov also entered the Russian navy on Thursday.,
	""The new submarines and surface ships have modern navigation, communications and hydroacoustics systems, high-precision weapons and robotic systems,"" Russian President Vladimir Putin said at a launching ceremony via video link.,
	""We will increase the pace and volume of construction of ships of various types, equip them with the most modern weapons ... do everything necessary to reliably ensure the security of Russia, protect our national interests in the oceans,"" he said."
"China to resume passport, visa issuance from Jan. 8, 2023","08:11, December 28, 2022","
	BEIJING, Dec. 27 (Xinhua) -- China will optimize immigration administration policies and measures starting from Jan. 8, 2023 in compliance with the country's downgraded COVID-19 response measures.,
	The National Immigration Administration issued a notice on Tuesday, saying that the optimized policies and measures include the resumption of accepting and approval of Chinese citizens' applications for ordinary passports for the purposes of tourism and visiting friends abroad starting from the date.,
	The administration will also resume the processing of endorsements for Chinese mainland residents to visit the Hong Kong Special Administrative Region for tourism and business purposes, as well as the issuance of exit-and-entry permits of the People's Republic of China and exit-and-entry permits for border control areas, the notice said.,
	Services related to the application for ordinary visas, stay permits, and residence permits by foreigners will be resumed, the notice said, adding that expedited procedures may be applied for in case of urgent need.,
	The resumed services will also include the issuance of port visas, the implementation of the 24/72/144-hour visa-free transit policy, and the issuance of temporary entry permits, according to the notice.,
	The country will see a gradual restoration of services related to passenger clearance through land ports and channels, as well as the exit and entry of passengers and border residents through land ports and corridors for border residents.,
	Fast channels at ports adjacent to the Hong Kong and Macao special administrative regions will return to normal operations, the notice said. And passenger clearance at water ports, as well as the exit and entry of international cruise passengers at selected ports, will be resumed in an orderly manner.,
	The notice also listed several facilitation measures that will continue to be implemented, including green passages at airports for key cargo flights, fast channels at land ports and immigration inspection stations for vehicles carrying key supplies, and an online personal application portal for immigration inspection boarding codes used at water ports."
Experts decode China's shift in COVID response policies,"08:13, December 28, 2022","
	BEIJING, Dec. 27 (Xinhua) -- China's National Health Commission (NHC) announced on Monday that the country will downgrade its level of COVID-19 management from the current Class A to a less strict Class B starting from Jan. 8, 2023.,
	Health experts have shed light on this major shift in China's COVID-19 response policies. China has classified COVID-19 as a Class B infectious disease, but opted to manage it under Class A response protocols since Jan. 20, 2020.,
	,
	Liang Wannian, head of the COVID-19 response expert panel under the NHC, said China now has the necessary conditions for this policy shift, which include waning virulence of the Omicron variant, mass vaccination of the population, improving capabilities of medical treatment, secured manufacturing and supply of medicines designed to fight the virus, enhanced public health awareness, and growing capabilities for personal protection.,
	When an infectious disease emerges, we lack knowledge of its pathogenic and epidemiologic features, and there isn't a clear picture of how contagious and virulent it is, and how the virus is going to mutate. A wise response is to classify the emerging infectious disease as a Class B infectious disease but manage it under Class A protocols to protect people's lives to the greatest extent possible, Liang noted.,
	However, when the impact of the infectious disease on people's health, the economy and society wanes, it is necessary to adjust response measures in a dynamic manner in line with laws and regulations, Liang said, citing China's experience in dealing with SARS in 2003, bird flu in 2005 and H1N1 flu in 2009.,
	As an immediate result of the policy adjustment, a surge in COVID-19 infections is likely, which has the potential to lead to shortages of medicine and public panic, Liang said. ""Response plans have been put in place to ensure a smooth transition,"" he added.,
	""The current focus of the response has been shifted from infection prevention to medical treatment,"" Liang said, adding that the utmost efforts will be made to prevent severe cases and fatalities.,
	,
	The downgrade in COVID-19 management level will be followed by a series of easing measures, according to Lei Zhenglong, an official from the NHC.,
	These include a longer time limit for case reporting, lifting quarantine measures against people infected with the virus and their close contacts, as well as venues with infections, and canceling health and quarantine inspections for travel, said Lei.,
	The content and the frequency of data revealing will also be adjusted, according to Li Qun, an official with the Chinese Center for Disease Control and Prevention (China CDC). Li said information of close contacts will no longer be disclosed.,
	According to Li, the trend of the epidemic and key populations, instead of each case, will be the focus of COVID-19 monitoring in the coming period. The official also noted that coronavirus variants will be closely monitored and the results of this monitoring will be published on the China CDC website.,
	Having been proved effective in coping with various infectious diseases in China over the past years, society-wide joint prevention and control efforts will continue to play an important role in the country's adjustments in COVID-19 management in the future, Li noted.,
	,
	Noting the recent rapid increase in the need for fever clinics, Jiao Yahui, head of the Bureau of Medical Administration under the NHC, said generally speaking, the growth rate is relatively stable, and that the utilization rate of medical resources is within a safe and controllable range.,
	To cope with changes under the new epidemic management strategy, the NHC has issued a series of guidelines to prepare the country's health care system, including increasing the supply of medical services, promoting a tiered diagnosis and treatment system, and expanding internet-based medical services, said Jiao.,
	By Dec. 15, more than 15,000 fever clinics had been set up in grade II hospitals and above, while more than 35,000 fever clinics or consulting rooms were available in primary-level medical and health institutions.,
	The NHC has set up a daily reviewing system as the basis for overall decisions concerning the preparation and use of medical resources across the country.,
	Guo Yanhong, director of the NHC Health Emergency Response Office, said the NHC required medical institutions at or above the county level to dynamically keep a drug reserve sufficient for three months.,
	Guo added that primary-level medical and health institutions should prepare enough relevant drugs for 15 to 20 percent of their service population, while a higher reserve may be prepared for those in densely populated areas."
"Chinese premier stresses timely, full wage payment for migrant workers","08:27, December 30, 2022","
	BEIJING, Dec. 29 (Xinhua) -- Chinese Premier Li Keqiang on Thursday urged efforts to ensure timely and full payment of salaries to rural migrant workers and the strengthening of employment support for the group.,
	Li made the remarks while instructing a work conference of the leading group of the State Council on eradicating wage arrears for migrant workers from rural areas.,
	Efforts should be made to strengthen joint law enforcement of multiple authorities and investigations in those fields where wage arrears are prone to occur more frequently.,
	The country will severely punish malicious violations related to wage payment according to law, and will implement the policy of withholding deposits from employers, to ensure timely and full wage payments to rural migrant workers, Li said.,
	Stressing the work to step up assistance to rural migrant workers, Li said the country should offer unemployment compensation and assistance in time to those who have lost their jobs or are in difficulties to secure the basic livelihoods of the people.,
	Chinese Vice Premier Hu Chunhua, also head of the leading group, attended the meeting and called for solid efforts in safeguarding the lawful rights and interests of migrant workers from rural areas.,
	Hu urged efforts to strengthen the protection of migrant rural workers with difficulties, assist them through multiple channels and stabilize employment of the group."
China to manage COVID-19 with measures against Class B infectious diseases,"09:04, December 27, 2022","
	,
	,
	BEIJING - China will manage COVID-19 with measures against Class B infectious diseases, instead of Class A infectious diseases, in a major shift of its epidemic response policies.,
	China has renamed the Chinese term for COVID-19 from ""novel coronavirus pneumonia"" to ""novel coronavirus infection,"" said a statement released by the National Health Commission on Monday.,
	Starting from Jan. 8, China will downgrade management of the disease from Class A to Class B in accordance with the country's law on prevention and treatment of infectious disease, and remove it from quarantinable infectious disease management carried out in accordance with the Frontier Health and Quarantine Law of the People's Republic of China, added the statement.,
	Currently, COVID-19 is classified as a Class B infectious disease but subject to the preventive and control measures for a Class A infectious disease in China.,
	Basic conditions have been in place to support such an adjustment, said a document released by the State Council joint prevention and control mechanism against COVID-19 on the same day, citing the latest virus mutation, the development of the epidemic and the country's epidemic response basis.,
	Authorities will drop quarantine measures against people infected with novel coronavirus and stop identifying close contacts or designating high-risk and low-risk areas, said the document.,
	COVID-19 cases will receive classified treatment and a timely adjustment will be made to medical care policies. The country will also adjust its testing policies as well as the frequency and content of epidemic information release.,
	In addition, disease control measures targeting inbound travelers and imported cargo will be lifted, said the document.,
	Following the adjustment, China's COVID-19 prevention and control efforts will focus on protecting health and preventing severe cases. Measures will be rolled out to protect people's lives and health to the utmost and minimize the impact of the epidemic on economic and social development."
China to downgrade COVID-19 management to Class B,"11:26, December 28, 2022","
	China will downgrade management of COVID-19 to Class B and cancel quarantine requirements on inbound travelers from Jan. 8, 2023, China's top health authority announced recently.,
	In a statement released late Monday, the National Health Commission (NHC) renamed the Chinese term for COVID-19 from ""novel coronavirus pneumonia"" to ""novel coronavirus infection,"" and will manage the disease from Class A to Class B in accordance with the Law of the People's Republic of China on Prevention and Treatment of Infectious Disease.,
	Additionally, it said that COVID-19 will no longer be included in the quarantinable infectious disease management following the Frontier Health and Quarantine Law of the People's Republic of China.,
	,
	,
	The new term better accurately describes the current disease characteristics as the Omicron variant becomes the global dominant strain, which includes declining pathogenicity and only a few cases showing pneumonia-like symptoms, said a document released by the State Council joint prevention and control mechanism against COVID-19 on the same day.,
	The decision was made after China's COVID-19 control reached a new stage as the virulence of the virus dropped, the document added. Considering its vaccination rate, medical resources and experience in prevention and control, China has the right conditions for downgrading the management.,
	According to the document, the country will no longer implement quarantine measures for infected individuals, and stop tracking close contacts or designating high-risk and low-risk areas. It will provide classified treatment for COVID-19 cases and promptly modify medical care policies.,
	,
	,
	The document further clarifies that starting from Jan. 8, China won't conduct any quarantinable infectious disease control measures for inbound persons and imported goods. Passengers entering the country still have to take nucleic acid tests 48 hours before departure.,
	The country will gradually resume passenger entry and exit at sea and land ports, as well as outbound tourism in an orderly manner. Arrangements for foreigners to visit China for work, business or other purposes will be improved and the required visas will also be facilitated, the document added.,
	Following the adjustment, China will keep track of the spread of COVID-19 and strengthen the health monitoring of special groups such as the elderly. Appropriate steps will also be implemented to ensure adequate medical resources and lessen the impact on economic and social development, said the authorities.,
	,
	"
